Player,RK,POS,BYE WEEK,TM,Pos Rank
Dalvin Cook,327,RB,-,FA,98
Tutu Atwell,328,WR,6,LAR,112
Marquez Valdes-Scantling,329,WR,12,BUF,113
Rasheen Ali,330,RB,14,BAL,99
Malik Washington,331,WR,6,MIA,114
JuJu Smith-Schuster,332,WR,14,NE,115
Matt Breida,333,RB,-,FA,100
Kalif Raymond,334,WR,5,DET,116
Tre Tucker,335,WR,10,LV,117
Logan Thomas,336,TE,9,SF,42
Hunter Renfrow,337,WR,-,FA,118
Bo Melton,338,WR,10,GB,119
Nelson Agholor,339,WR,14,BAL,120
Allen Lazard,340,WR,12,NYJ,121
Donald Parham,341,TE,5,LAC,43
Donovan Peoples-Jones,342,WR,5,DET,122
Sam Howell,343,QB,10,SEA,38
Skyy Moore,344,WR,6,KC,123
Calvin Austin III,345,WR,9,PIT,124
Wil Lutz,346,K,14,DEN,19
Van Jefferson,347,WR,9,PIT,125
Royce Freeman,348,RB,7,DAL,101
Keaontay Ingram,349,RB,6,KC,102
Jauan Jennings,350,WR,9,SF,126
Erick All,351,TE,12,CIN,44
John Metchie III,352,WR,14,HOU,127
Xavier Gipson,353,WR,12,NYJ,128
Drew Lock,354,QB,11,NYG,39
Michael Gallup,355,WR,-,FA,129
Ty Johnson,356,RB,12,BUF,103
Noah Gray,357,TE,6,KC,45
Will Dissly,358,TE,5,LAC,46
Jawhar Jordan,359,RB,14,HOU,104
Tanner Hudson,360,TE,12,CIN,47
Deneric Prince,361,RB,6,KC,105
Parris Campbell,362,WR,5,PHI,130
Joe Flacco,363,QB,14,IND,40
Kylen Granson,364,TE,14,IND,48
Craig Reynolds,365,RB,5,DET,106
Latavius Murray,366,RB,-,FA,107
Kenny Pickett,367,QB,5,PHI,41
Tim Patrick,368,WR,14,DEN,131
Los Angeles Rams,369,DST,6,LAR,23
Parker Washington,370,WR,12,JAC,132
Ainias Smith,371,WR,5,PHI,133
Jameis Winston,372,QB,10,CLE,42
Brandon Powell,373,WR,6,MIN,134
Justin Watson,374,WR,6,KC,135
Chris Boswell,375,K,9,PIT,20
Tampa Bay Buccaneers,376,DST,11,TB,24
Johnny Wilson,377,WR,5,PHI,136
Cade Stover,378,TE,14,HOU,49
Brevin Jordan,379,TE,14,HOU,50
Davis Allen,380,TE,6,LAR,51
Jeremy Ruckert,381,TE,12,NYJ,52
Cedrick Wilson,382,WR,12,NO,137
Isaiah Davis,383,RB,12,NYJ,108
Seattle Seahawks,384,DST,10,SEA,25
Blake Watson,385,RB,14,DEN,109
Jarrett Stidham,386,QB,14,DEN,43
Johnny Mundt,387,TE,6,MIN,53
Jake Bates,388,K,5,DET,21
Jaheim Bell,389,TE,14,NE,54
Josh Oliver,390,TE,6,MIN,55
Brandon McManus,391,K,-,FA,22
Los Angeles Chargers,392,DST,5,LAC,26
Greg Joseph,393,K,10,GB,23
Xavier Hutchinson,394,WR,14,HOU,138
Jake Browning,395,QB,12,CIN,44
New York Giants,396,DST,11,NYG,27
Sean Tucker,397,RB,11,TB,110
Nyheim Hines,398,RB,10,CLE,111
Frank Gore,399,RB,12,BUF,112
Chase McLaughlin,400,K,11,TB,24
Ameer Abdullah,401,RB,10,LV,113
Trenton Irwin,402,WR,12,CIN,139
Chase Claypool,403,WR,12,BUF,140
Adam Trautman,404,TE,14,DEN,56
Carolina Panthers,405,DST,11,CAR,28
Matt Prater,406,K,11,ARI,25
Chris Moore,407,WR,11,ARI,141
Austin Hooper,408,TE,14,NE,57
Braxton Berrios,409,WR,6,MIA,142
Jase McClellan,410,RB,12,ATL,114
Kenny McIntosh,411,RB,10,SEA,115
Charlie Jones,412,WR,12,CIN,143
Nick Westbrook-Ikhine,413,WR,5,TEN,144
Mack Hollins,414,WR,12,BUF,145
Eddy Pineiro,415,K,11,CAR,26
Quez Watkins,416,WR,9,PIT,146
Atlanta Falcons,417,DST,12,ATL,29
Trayveon Williams,418,RB,12,CIN,116
Terrace Marshall,419,WR,11,CAR,147
Darnell Washington,420,TE,9,PIT,58
Lucas Krull,421,TE,14,DEN,59
Malik Davis,422,RB,7,DAL,117
Isaiah Hodgins,423,WR,11,NYG,148
Anders Carlson,424,K,10,GB,27
Jamari Thrash,425,WR,10,CLE,149
Will Reichard,426,K,6,MIN,28
Tommy Tremble,427,TE,11,CAR,60
Graham Gano,428,K,11,NYG,29
