Player,Rank,AVG PICK,7 DAY +/-,%ROST,POS,TM
Rome Odunze,107,113.8,0.4,76.2,WR,CHI
Keon Coleman,108,113.8,-0.9,78.1,WR,BUF
Jaxon Smith-Njigba,109,114.4,0.3,84.2,WR,SEA
Jayden Daniels,110,116.6,0.6,77.9,QB,WSH
Jake Elliott,111,116.6,0.0,98.1,iK,PH
Devin Singletary,112,116.7,0.2,83.6,RB,NYG
Harrison Butker,113,117.1,-0.5,98.1,CK,K
Courtland Sutton,114,118.3,0.3,84.7,WR,DEN
Xavier Worthy,115,118.3,-1.0,80.5,WR,KC
Jets D/STNY,116,119.4,0.5,88.0,ST,JD/
Blake Corum,117,121.3,0.2,53.1,RB,LAR
Tyler Lockett,118,122.7,0.1,84.5,WR,SEA
Dallas Goedert,119,122.9,0.6,86.4,TE,PHI
Steelers STPit,120,124.5,-0.5,87.2,ST,D/
Jameson Williams,121,125.9,0.4,61.1,WR,DET
Gus Edwards,122,127.5,-0.4,80.5,RB,LAC
Aaron Rodgers,123,128.1,-0.6,81.2,QB,NYJ
Jerome Ford,124,128.4,0.0,74.7,RB,CLE
Caleb Williams,125,128.5,-1.7,80.9,QB,CHI
Trey Benson,126,128.9,0.9,54.6,RB,ARI
Mike Williams,127,129.1,-0.3,81.3,WR,NYJ
J.K. Dobbins,128,131.9,0.5,72.0,RB,LAC
Brian Thomas Jr.,129,133.3,-1.0,70.9,WR,JAX
Ka'imi Fairbairn,130,133.8,-0.2,87.4,uK,HO
Zach Charbonnet,131,135.9,-0.1,71.7,RB,SEA
Jerry Jeudy,132,138.1,0.2,71.6,WR,CLE
Lions STDet,133,139.7,0.8,52.7,ST,D/
Justin Herbert,134,140.3,-1.1,78.1,QB,LAC
Dalton Schultz,135,140.4,0.3,78.8,TE,HOU
Tua Tagovailoa,136,141.7,0.2,63.8,QB,MIA
Evan McPherson,137,142.0,-0.3,83.1,nK,CI
Chase Brown,138,142.3,-0.4,57.4,RB,CIN
Younghoe Koo,139,145.5,1.1,64.1,lK,AT
Darnell Mooney,140,146.3,-0.1,68.3,WR,ATL
Chiefs D/STK,141,146.8,-0.1,70.2,ST,CD/
Tyler Allgeier,142,147.6,1.0,51.7,RB,ATL
Jakobi Meyers,143,148.3,-0.9,74.4,WR,LV
Dolphins STMia,144,148.4,-0.9,77.5,ST,D/
Rashid Shaheed,145,149.3,1.0,30.2,WR,NO
Curtis Samuel,146,150.1,0.5,59.2,WR,BUF
Saints D/STN,147,150.5,0.7,78.6,ST,OD/
Jared Goff,148,151.3,0.8,51.3,QB,DET
Jake Moody,149,151.8,-0.1,78.6,FK,S
Greg Zuerlein,150,151.9,-0.2,79.8,JK,NY
Cole Kmet,151,152.5,0.6,60.6,TE,CHI
